,job_title,department,salary,Join Date
20498,POLICE OFFICER,POLICE,$75372.0,2000-05-01 00:00:00
20499,POLICE OFFICER,POLICE,$75372.0,2000-07-01 00:00:00
20500,FIREFIGHTER (PER ARBITRATORS AWARD)-PARAMEDIC,FIRE,$97332.0,2000-11-14 00:00:00
20501,MACHINIST (AUTOMOTIVE),GENERAL SERVICES,$91353.6,2000-04-02 00:00:00
20502,MOTOR TRUCK DRIVER,STREETS & SAN,$71635.2,2000-07-22 00:00:00
20503,POOL MOTOR TRUCK DRIVER,AVIATION,$70408.0,2000-09-05 00:00:00
20504,FIREFIGHTER-EMT,FIRE,$91680.0,2000-07-14 00:00:00
20505,CIVIL ENGINEER V,WATER MGMNT,$90324.0,2000-05-24 00:00:00
20506,POLICE OFFICER,POLICE,$78012.0,2000-06-23 00:00:00
20507,COMMUNICATIONS OPERATOR I - 311,OEMC,$50280.0,2000-01-16 00:00:00
20508,SERGEANT,POLICE,$102564.0,2000-03-23 00:00:00
20509,LIBRARIAN II,PUBLIC LIBRARY,$76524.0,2000-08-06 00:00:00
20510,POLICE OFFICER,POLICE,$43104.0,2000-06-18 00:00:00
20511,SERGEANT,POLICE,$112566.0,2000-06-06 00:00:00
20512,POLICE OFFICER,POLICE,$80724.0,2000-09-05 00:00:00
20513,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,$87372.0,2000-09-26 00:00:00
20514,ADMINISTRATIVE ASST III - EXCLUDED,INSPECTOR GEN,$43224.0,2000-09-13 00:00:00
20515,DEPUTY CORPORATION COUNSEL,LAW,$137076.0,2000-02-27 00:00:00
20516,STEAMFITTER,AVIATION,$95680.0,2000-03-05 00:00:00
20517,SIGN PAINTER,AVIATION,$73403.2,2000-12-26 00:00:00
20518,LIBRARIAN II,PUBLIC LIBRARY,$56472.0,2000-11-20 00:00:00
20519,FIREFIGHTER-EMT,FIRE,$79140.0,2000-07-22 00:00:00
20520,SERGEANT,POLICE,$99444.0,2000-04-28 00:00:00
20521,ELECTRICAL MECHANIC,GENERAL SERVICES,$89440.0,2000-06-02 00:00:00
20522,FIREFIGHTER,FIRE,$78012.0,2000-04-03 00:00:00
20523,POLICE OFFICER,POLICE,$68382.0,2000-11-23 00:00:00
20524,POLICE COMMUNICATIONS OPERATOR I,OEMC,$73032.0,2000-12-05 00:00:00
20525,POLICE OFFICER,POLICE,$83706.0,2000-11-18 00:00:00
20526,ENVIRONMENTAL INVESTIGATOR,HEALTH,$79992.0,2000-10-17 00:00:00
20527,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,$87372.0,2000-11-06 00:00:00
20528,PARAMEDIC I/C,FIRE,$77784.0,2000-04-17 00:00:00
20529,POLICE OFFICER,POLICE,$75372.0,2000-08-02 00:00:00
20530,STATION LABORER,WATER MGMNT,$42535.68,2000-07-14 00:00:00
20531,POLICE OFFICER,POLICE,$75372.0,2000-08-01 00:00:00
20532,INVESTIGATOR - IPRA II,IPRA,$68952.0,2000-04-14 00:00:00
20533,SANITATION LABORER,STREETS & SAN,$70969.6,2000-08-10 00:00:00
20534,ADMINISTRATIVE ASST II,WATER MGMNT,$63456.0,2000-09-18 00:00:00
20535,LIBRARIAN I,PUBLIC LIBRARY,$69300.0,2000-05-26 00:00:00
20536,LIEUTENANT,FIRE,$96648.0,2000-05-07 00:00:00
20537,FIREFIGHTER,FIRE,$50490.0,2000-10-13 00:00:00
20538,POLICE OFFICER,POLICE,$80724.0,2000-08-04 00:00:00
20539,ASST INSPECTOR GENERAL,INSPECTOR GEN,$101700.0,2000-12-15 00:00:00
20540,DETENTION AIDE,POLICE,$46656.0,2000-11-16 00:00:00
20541,POOL MOTOR TRUCK DRIVER,AVIATION,$70408.0,2000-06-14 00:00:00
20542,LINEMAN,TRANSPORTN,$93288.0,2000-12-01 00:00:00
20543,POOL MOTOR TRUCK DRIVER,AVIATION,$70408.0,2000-10-15 00:00:00
20544,POLICE OFFICER,POLICE,$71748.0,2000-01-17 00:00:00
20545,POLICE OFFICER,POLICE,$65016.0,2000-07-06 00:00:00
20546,LAW CLERK,LAW,$25152.4,2000-02-19 00:00:00
20547,FIREFIGHTER-EMT,FIRE,$84762.0,2000-02-15 00:00:00
20548,CONSUMER INVESTIGATOR II,BUSINESS AFFAIRS,$76428.0,2000-09-04 00:00:00
20549,SUPERVISING POLICE COMMUNICATIONS OPERATOR,OEMC,$92604.0,2000-09-03 00:00:00
20550,INVESTIGATOR - IPRA II,IPRA,$59976.0,2000-02-06 00:00:00
20551,POLICE OFFICER,POLICE,$83706.0,2000-12-14 00:00:00
20552,LIEUTENANT-EMT,FIRE,$101484.0,2000-02-14 00:00:00
20553,POLICE OFFICER,POLICE,$80724.0,2000-06-13 00:00:00
20554,DETENTION AIDE,POLICE,$60648.0,2000-06-09 00:00:00
20555,POLICE OFFICER,POLICE,$78012.0,2000-02-21 00:00:00
20556,ADMINISTRATIVE ASST II,FAMILY & SUPPORT,$63456.0,2000-05-04 00:00:00
20557,STAFF ASST,POLICE,$68580.0,2000-02-19 00:00:00
20558,FIRE COMMUNICATIONS OPERATOR I,OEMC,$64384.08,2000-03-03 00:00:00
20559,POLICE OFFICER,POLICE,$75372.0,2000-09-12 00:00:00
20560,PAYROLL ADMINISTRATOR,FINANCE,$88812.0,2000-02-12 00:00:00
20561,TRAFFIC CONTROL AIDE-HOURLY,OEMC,$19458.4,2000-09-26 00:00:00
20562,POLICE OFFICER,POLICE,$78012.0,2000-02-17 00:00:00
20563,POLICE OFFICER,POLICE,$78012.0,2000-02-19 00:00:00
20564,FIREFIGHTER-EMT,FIRE,$79140.0,2000-01-05 00:00:00
20565,DIR OF HUMAN RIGHTS COMPLIANCE,HUMAN RELATIONS,$94872.0,2000-03-10 00:00:00
20566,POLICE OFFICER,POLICE,$75372.0,2000-09-12 00:00:00
20567,MOTOR TRUCK DRIVER,STREETS & SAN,$70408.0,2000-06-13 00:00:00
20568,SANITATION LABORER,STREETS & SAN,$70969.6,2000-03-07 00:00:00
20569,SERVICE WRITER,GENERAL SERVICES,$75888.0,2000-10-13 00:00:00
20570,FIREFIGHTER/PARAMEDIC,FIRE,$81018.0,2000-04-18 00:00:00
20571,FIREFIGHTER/PARAMEDIC,FIRE,$83856.0,2000-04-24 00:00:00
20572,POLICE OFFICER,POLICE,$78012.0,2000-11-05 00:00:00
20573,POLICE OFFICER,POLICE,$78012.0,2000-08-24 00:00:00
20574,POLICE OFFICER,POLICE,$86130.0,2000-10-21 00:00:00
20575,FIRE ENGINEER,FIRE,$84396.0,2000-03-14 00:00:00
20576,POLICE OFFICER,POLICE,$83706.0,2000-09-07 00:00:00
20577,CROSSING GUARD,POLICE,$16525.6,2000-02-04 00:00:00
20578,CAPTAIN-EMT,FIRE,$121428.0,2000-07-23 00:00:00
20579,POLICE OFFICER,POLICE,$80724.0,2000-08-24 00:00:00
20580,CONTRACTS ADMINISTRATOR,TRANSPORTN,$103740.0,2000-06-23 00:00:00
20581,ACCOUNTANT III,FAMILY & SUPPORT,$83640.0,2000-10-18 00:00:00
20582,TRAFFIC ENGINEER IV,TRANSPORTN,$99648.0,2000-08-11 00:00:00
20583,LIBRARIAN I,PUBLIC LIBRARY,$69300.0,2000-02-12 00:00:00
20584,CUSTODIAL WORKER,AVIATION,$41537.6,2000-11-16 00:00:00
20585,LIBRARY PAGE,PUBLIC LIBRARY,$11044.8,2000-04-04 00:00:00
20586,LIBRARY CLERK,PUBLIC LIBRARY,$39912.0,2000-08-20 00:00:00
20587,WATER CHEMIST II,WATER MGMNT,$76524.0,2000-11-25 00:00:00
20588,MANAGER OF FINANCE,FAMILY & SUPPORT,$92988.0,2000-11-26 00:00:00
20589,POLICE OFFICER,POLICE,$80724.0,2000-09-14 00:00:00
20590,PARAMEDIC I/C,FIRE,$84396.0,2000-07-14 00:00:00
20591,POLICE OFFICER,POLICE,$61530.0,2000-06-21 00:00:00
20592,COMMUNICABLE DISEASE CONTROL INVESTIGATOR II,HEALTH,$76428.0,2000-06-06 00:00:00
20593,POLICE COMMUNICATIONS OPERATOR II,OEMC,$80136.0,2000-12-11 00:00:00
20594,POLICE OFFICER,POLICE,$78012.0,2000-06-13 00:00:00
20595,POLICE OFFICER,POLICE,$78012.0,2000-04-17 00:00:00
20596,FOREMAN OF MOTOR TRUCK DRIVERS,STREETS & SAN,$74276.8,2000-04-17 00:00:00
20597,POLICE OFFICER,POLICE,$80724.0,2000-05-17 00:00:00
20598,ASST DIRECTOR OF CHILDREN SERVICES,FAMILY & SUPPORT,$69684.0,2000-08-13 00:00:00
20599,POLICE OFFICER,POLICE,$83706.0,2000-02-01 00:00:00
20600,POLICE OFFICER,POLICE,$78012.0,2000-01-25 00:00:00
20601,STAFF ASST,ADMIN HEARNG,$75240.0,2000-09-18 00:00:00
20602,TRAFFIC CONTROL AIDE-HOURLY,OEMC,$19458.4,2000-06-03 00:00:00
20603,FIREFIGHTER (PER ARBITRATORS AWARD)-PARAMEDIC,FIRE,$97332.0,2000-05-08 00:00:00
20604,POLICE OFFICER / FLD TRNG OFFICER,POLICE,$87918.0,2000-08-27 00:00:00
20605,DETENTION AIDE,POLICE,$46656.0,2000-07-19 00:00:00
20606,FIRE ENGINEER,FIRE,$93192.0,2000-12-14 00:00:00
20607,POLICE OFFICER,POLICE,$78012.0,2000-04-20 00:00:00
20608,POLICE OFFICER,POLICE,$78012.0,2000-02-02 00:00:00
20609,DETENTION AIDE,POLICE,$66552.0,2000-04-12 00:00:00
20610,CAPTAIN-EMT,FIRE,$121428.0,2000-04-18 00:00:00
20611,FOREMAN OF MOTOR TRUCK DRIVERS,AVIATION,$74276.8,2000-01-23 00:00:00
20612,BATTALION CHIEF,FIRE,$126402.0,2000-06-27 00:00:00
20613,CROSSING GUARD,POLICE,$17316.0,2000-12-28 00:00:00
20614,POLICE OFFICER,POLICE,$78012.0,2000-03-28 00:00:00
20615,TITLE V PROGRAM TRAINEE I,FAMILY & SUPPORT,$8580.0,2000-04-23 00:00:00
20616,SENIOR DATA ENTRY OPERATOR,POLICE,$50280.0,2000-06-14 00:00:00
20617,SUPERVISING ENFORCEMENT TECH,FINANCE,$35945.0,2000-12-09 00:00:00
20618,POLICE OFFICER,POLICE,$80724.0,2000-11-03 00:00:00
20619,COMMUNICATIONS OPERATOR I - 311,OEMC,$48048.0,2000-11-10 00:00:00
20620,POLICE OFFICER,POLICE,$80724.0,2000-09-27 00:00:00
20621,POLICE OFFICER,POLICE,$80724.0,2000-02-04 00:00:00
20622,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,$87372.0,2000-03-21 00:00:00
20623,POLICE OFFICER,POLICE,$80724.0,2000-01-02 00:00:00
20624,FIREFIGHTER-EMT,FIRE,$79140.0,2000-07-19 00:00:00
20625,FIREFIGHTER-EMT,FIRE,$79140.0,2000-03-21 00:00:00
20626,FIREFIGHTER-EMT,FIRE,$79140.0,2000-07-06 00:00:00
20627,SERGEANT,POLICE,$102564.0,2000-10-28 00:00:00
20628,FIREFIGHTER-EMT,FIRE,$84762.0,2000-09-06 00:00:00
20629,POLICE OFFICER,POLICE,$83706.0,2000-12-21 00:00:00
20630,POLICE OFFICER,POLICE,$75372.0,2000-09-09 00:00:00
20631,LEGISLATIVE AIDE,CITY COUNCIL,$43440.0,2000-05-16 00:00:00
20632,FOREMAN OF STREET LIGHT REPAIRMEN,TRANSPORTN,$103688.04,2000-08-28 00:00:00
20633,LINEMAN,OEMC,$93288.0,2000-11-08 00:00:00
20634,ASST TO THE ALDERMAN,CITY COUNCIL,$86220.0,2000-07-05 00:00:00
20635,SANITATION LABORER,STREETS & SAN,$70969.6,2000-05-27 00:00:00
20636,POLICE OFFICER,POLICE,$75372.0,2000-12-11 00:00:00
20637,POLICE OFFICER,POLICE,$78012.0,2000-07-06 00:00:00
20638,BATTALION CHIEF - EMT,FIRE,$132720.0,2000-02-14 00:00:00
20639,BATTALION CHIEF - EMT,FIRE,$128886.0,2000-01-25 00:00:00
20640,POLICE OFFICER,POLICE,$78012.0,2000-02-25 00:00:00
20641,POLICE OFFICER,POLICE,$78012.0,2000-07-06 00:00:00
20642,ASST DEPUTY FIRE COMMISSIONER,FIRE,$176520.0,2000-09-14 00:00:00
20643,FIREFIGHTER,FIRE,$50490.0,2000-10-23 00:00:00
20644,POLICE OFFICER/EXPLSV DETECT K9 HNDLR,POLICE,$87918.0,2000-08-27 00:00:00
20645,DEPUTY COMMISSIONER,CULTURAL AFFAIRS,$105828.0,2000-01-17 00:00:00
20646,PAYMENT SERVICES REPRESENTATIVE,CITY CLERK,$55212.0,2000-06-14 00:00:00
20647,LEAD PRESSMAN,GENERAL SERVICES,$63276.0,2000-11-18 00:00:00
20648,MACHINIST (AUTOMOTIVE),GENERAL SERVICES,$91353.6,2000-01-22 00:00:00
20649,PROJECT MANAGER - DOIT,DoIT,$102708.0,2000-05-22 00:00:00
20650,FIREFIGHTER/PARAMEDIC,FIRE,$83856.0,2000-01-06 00:00:00
20651,OPERATING ENGINEER-GROUP C,AVIATION,$91457.6,2000-02-09 00:00:00
20652,POLICE OFFICER,POLICE,$75372.0,2000-06-03 00:00:00
20653,POLICE OFFICER,POLICE,$75372.0,2000-10-17 00:00:00
20654,FIREFIGHTER/PARAMEDIC,FIRE,$81018.0,2000-06-16 00:00:00
20655,CROSSING GUARD,POLICE,$20872.8,2000-04-10 00:00:00
20656,CROSSING GUARD - PER AGREEMENT,POLICE,$16317.6,2000-07-01 00:00:00
20657,MACHINIST (AUTO) POLICE MOTOR MAINT,GENERAL SERVICES,$91353.6,2000-05-06 00:00:00
20658,FIREFIGHTER-EMT,FIRE,$79140.0,2000-03-06 00:00:00
20659,AVIATION SECURITY OFFICER,AVIATION,$66552.0,2000-06-28 00:00:00
20660,POLICE OFFICER,POLICE,$61530.0,2000-01-18 00:00:00
20661,MACHINIST (AUTOMOTIVE),GENERAL SERVICES,$91353.6,2000-02-22 00:00:00
20662,FIREFIGHTER-EMT,FIRE,$79140.0,2000-11-26 00:00:00
20663,POLICE OFFICER,POLICE,$78012.0,2000-07-13 00:00:00
20664,SERGEANT,POLICE,$105864.0,2000-05-03 00:00:00
20665,PARAMEDIC,FIRE,$75372.0,2000-12-22 00:00:00
20666,CAPTAIN,POLICE,$119430.0,2000-03-01 00:00:00
20667,POLICE FORENSIC INVESTIGATOR I,POLICE,$102978.0,2000-01-23 00:00:00
20668,SANITATION LABORER,STREETS & SAN,$70969.6,2000-08-16 00:00:00
20669,POLICE OFFICER (ASSIGNED AS TRAFFIC SPECIALIST),POLICE,$81900.0,2000-10-07 00:00:00
20670,SERVICE WRITER,GENERAL SERVICES,$66024.0,2000-10-27 00:00:00
20671,POLICE OFFICER (ASSIGNED AS TRAFFIC SPECIALIST),POLICE,$87918.0,2000-07-01 00:00:00
20672,SERGEANT,POLICE,$105864.0,2000-02-02 00:00:00
20673,ADMINISTRATIVE ASST III,HEALTH,$76428.0,2000-12-27 00:00:00
20674,POLICE OFFICER,POLICE,$78012.0,2000-09-05 00:00:00
20675,POLICE OFFICER,POLICE,$78012.0,2000-07-27 00:00:00
20676,POLICE OFFICER,POLICE,$78012.0,2000-05-02 00:00:00
20677,PROJECT MANAGER - DOIT,DoIT,$97728.0,2000-05-04 00:00:00
20678,POLICE OFFICER,POLICE,$80724.0,2000-07-18 00:00:00
20679,SANITATION LABORER,STREETS & SAN,$70969.6,2000-05-19 00:00:00
20680,CAPTAIN,FIRE,$112206.0,2000-01-23 00:00:00
20681,POLICE OFFICER,POLICE,$86130.0,2000-03-12 00:00:00
20682,POLICE OFFICER,POLICE,$78012.0,2000-06-01 00:00:00
20683,CEMENT FINISHER,TRANSPORTN,$88088.0,2000-11-07 00:00:00
20684,MOTOR TRUCK DRIVER,STREETS & SAN,$70408.0,2000-07-05 00:00:00
20685,LIEUTENANT-EMT,FIRE,$108132.0,2000-11-16 00:00:00
20686,LIEUTENANT-EMT,FIRE,$108132.0,2000-09-16 00:00:00
20687,ASST CORPORATION COUNSEL,LAW,$57192.0,2000-05-03 00:00:00
20688,CROSSING GUARD,POLICE,$16525.6,2000-10-01 00:00:00
20689,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,$90540.0,2000-12-17 00:00:00
20690,DETENTION AIDE,POLICE,$55248.0,2000-09-27 00:00:00
20691,CROSSING GUARD,POLICE,$17316.0,2000-06-21 00:00:00
20692,FIRE ENGINEER-EMT,FIRE,$91740.0,2000-07-11 00:00:00
20693,LIBRARY CLERK,PUBLIC LIBRARY,$41784.0,2000-08-26 00:00:00
20694,TRAFFIC CONTROL AIDE-HOURLY,OEMC,$19458.4,2000-02-28 00:00:00
20695,PUBLIC HEALTH ADMINISTRATOR III,HEALTH,$93024.0,2000-05-10 00:00:00
20696,FIREFIGHTER-EMT,FIRE,$84762.0,2000-10-20 00:00:00
20697,FIREFIGHTER,FIRE,$83982.0,2000-05-08 00:00:00
20698,PROGRAM DIR,DISABILITIES,$84780.0,2000-04-21 00:00:00
20699,POLICE OFFICER,POLICE,$61530.0,2000-10-08 00:00:00
20700,FOREMAN OF SEWER BRICKLAYERS,WATER MGMNT,$95139.2,2000-05-26 00:00:00
20701,POLICE OFFICER,POLICE,$83706.0,2000-01-04 00:00:00
20702,LIEUTENANT-EMT,FIRE,$108132.0,2000-07-08 00:00:00
20703,AVIATION SECURITY OFFICER,AVIATION,$53628.0,2000-07-18 00:00:00
20704,FIRE ENGINEER,FIRE,$93192.0,2000-06-03 00:00:00
20705,BUILDING/CONSTRUCTION INSPECTOR,HEALTH,$110004.0,2000-12-11 00:00:00
20706,POLICE OFFICER,POLICE,$78012.0,2000-02-22 00:00:00
20707,REPROGRAPHICS TECHNICIAN III,FAMILY & SUPPORT,$60600.0,2000-12-08 00:00:00
20708,FIREFIGHTER-EMT,FIRE,$79140.0,2000-05-07 00:00:00
20709,LIBRARIAN I,PUBLIC LIBRARY,$69300.0,2000-04-11 00:00:00
20710,IT DIRECTOR (DoIT),DoIT,$110856.0,2000-03-25 00:00:00
20711,POLICE OFFICER / FLD TRNG OFFICER,POLICE,$81900.0,2000-02-05 00:00:00
20712,STAFF ASST TO THE ALDERMAN,CITY COUNCIL,$40368.0,2000-11-17 00:00:00
20713,FIREFIGHTER-EMT,FIRE,$84762.0,2000-07-02 00:00:00
20714,DIRECTOR OF FINANCE,TRANSPORTN,$116400.0,2000-07-15 00:00:00
20715,POLICE OFFICER,POLICE,$80724.0,2000-02-10 00:00:00
20716,YOUTH SERVICES COORD,FAMILY & SUPPORT,$63516.0,2000-04-02 00:00:00
20717,FOREMAN OF PAINTERS,TRANSPORTN,$95347.2,2000-04-22 00:00:00
20718,CAPTAIN-EMT,FIRE,$121428.0,2000-05-15 00:00:00
20719,FIREFIGHTER,FIRE,$50490.0,2000-12-06 00:00:00
20720,LIEUTENANT-EMT,FIRE,$101484.0,2000-07-20 00:00:00
20721,LEGISLATIVE AIDE,CITY COUNCIL,$34596.0,2000-01-20 00:00:00
20722,PARAMEDIC I/C,FIRE,$84396.0,2000-08-08 00:00:00
20723,TRAFFIC CONTROL AIDE-HOURLY,OEMC,$19458.4,2000-04-08 00:00:00
20724,COORD OF ECONOMIC DEVELOPMENT,COMMUNITY DEVELOPMENT,$93024.0,2000-05-10 00:00:00
20725,FIREFIGHTER/PARAMEDIC,FIRE,$83856.0,2000-05-02 00:00:00
20726,ELECTRICAL MECHANIC,AVIATION,$89440.0,2000-07-14 00:00:00
20727,MACHINIST (AUTO) POLICE MOTOR MAINT,GENERAL SERVICES,$91353.6,2000-12-20 00:00:00
20728,LIEUTENANT-EMT,FIRE,$108132.0,2000-02-13 00:00:00
20729,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,$93192.0,2000-01-23 00:00:00
20730,FIREFIGHTER-EMT,FIRE,$81906.0,2000-12-23 00:00:00
20731,FIREFIGHTER,FIRE,$87324.0,2000-10-26 00:00:00
20732,FIREFIGHTER,FIRE,$80724.0,2000-05-07 00:00:00
20733,HR RECORDS SPECIALIST,HUMAN RESOURCES,$47424.0,2000-11-22 00:00:00
20734,POLICE OFFICER,POLICE,$61530.0,2000-11-23 00:00:00
20735,POLICE OFFICER,POLICE,$75372.0,2000-05-12 00:00:00
20736,SERGEANT,POLICE,$105864.0,2000-12-07 00:00:00
20737,POLICE OFFICER,POLICE,$78012.0,2000-12-06 00:00:00
20738,LIBRARIAN I - HOURLY,PUBLIC LIBRARY,$26041.6,2000-01-17 00:00:00
20739,CARPENTER,AVIATION,$88441.6,2000-09-10 00:00:00
20740,GARAGE ATTENDANT I/C,GENERAL SERVICES,$48297.6,2000-08-03 00:00:00
20741,FIREFIGHTER-EMT,FIRE,$79140.0,2000-01-24 00:00:00
20742,LIEUTENANT-EMT,FIRE,$101484.0,2000-07-23 00:00:00
20743,LEGISLATIVE AIDE,CITY COUNCIL,$33108.0,2000-06-04 00:00:00
20744,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,$90540.0,2000-10-15 00:00:00
20745,CROSSING GUARD - PER AGREEMENT,POLICE,$18688.8,2000-01-04 00:00:00
20746,LIEUTENANT-EMT,FIRE,$101484.0,2000-04-16 00:00:00
20747,POLICE OFFICER,POLICE,$80724.0,2000-01-04 00:00:00
20748,ASST CORPORATION COUNSEL SUPVSR,LAW,$87900.0,2000-06-24 00:00:00
20749,FIREFIGHTER,FIRE,$75372.0,2000-05-16 00:00:00
20750,AIRPORT OPERATIONS SUPVSR II,AVIATION,$87228.0,2000-03-15 00:00:00
20751,CHAIRPERSON - COMMISSION ON HUMAN RELATIONS,HUMAN RELATIONS,$125004.0,2000-12-04 00:00:00
20752,ADMINISTRATIVE ASST III,BUILDINGS,$66492.0,2000-08-18 00:00:00
20753,FIREFIGHTER,FIRE,$87324.0,2000-02-23 00:00:00
20754,FOSTER GRANDPARENT,FAMILY & SUPPORT,$2756.0,2000-04-24 00:00:00
20755,POLICE OFFICER,POLICE,$86130.0,2000-11-17 00:00:00
20756,POLICE OFFICER,POLICE,$75372.0,2000-05-26 00:00:00
20757,FIELD SUPVSR I - PARKING ENFORCEMENT,FINANCE,$60648.0,2000-01-15 00:00:00
20758,LABORATORY TECHNICIAN III,POLICE,$57828.0,2000-06-02 00:00:00
20759,POOL MOTOR TRUCK DRIVER,STREETS & SAN,$70408.0,2000-09-07 00:00:00
20760,FIREFIGHTER-EMT,FIRE,$84762.0,2000-06-06 00:00:00
20761,CONSTRUCTION LABORER,WATER MGMNT,$76960.0,2000-01-13 00:00:00
20762,MOTOR TRUCK DRIVER,WATER MGMNT,$70408.0,2000-06-17 00:00:00
20763,CROSSING GUARD - PER AGREEMENT,POLICE,$16317.6,2000-06-14 00:00:00
20764,LIBRARY PAGE,PUBLIC LIBRARY,$11044.8,2000-11-20 00:00:00
20765,TIMEKEEPER - CPD,POLICE,$60600.0,2000-11-04 00:00:00
20766,POLICE TECHNICIAN,POLICE,$87918.0,2000-12-10 00:00:00
20767,STATIONARY FIREMAN,WATER MGMNT,$63772.8,2000-05-04 00:00:00
20768,POLICE OFFICER (ASSIGNED AS EVIDENCE TECHNICIAN),POLICE,$84756.0,2000-08-19 00:00:00
20769,LIBRARY PAGE,PUBLIC LIBRARY,$11044.8,2000-03-25 00:00:00
20770,TRAFFIC CONTROL AIDE-HOURLY,OEMC,$19458.4,2000-06-09 00:00:00
20771,POLICE OFFICER,POLICE,$78012.0,2000-05-26 00:00:00
20772,SAFETY SPECIALIST,AVIATION,$69648.0,2000-12-16 00:00:00
20773,CONSTRUCTION LABORER,WATER MGMNT,$76960.0,2000-02-28 00:00:00
20774,POLICE OFFICER,POLICE,$80724.0,2000-01-21 00:00:00
20775,LIEUTENANT-EMT,FIRE,$104742.0,2000-01-08 00:00:00
20776,ELECTRICAL MECHANIC,GENERAL SERVICES,$89440.0,2000-01-07 00:00:00
20777,PLUMBING INSPECTOR,WATER MGMNT,$98028.0,2000-05-27 00:00:00
20778,WATCHMAN,WATER MGMNT,$43097.6,2000-02-04 00:00:00
20779,WARD SUPERINTENDENT,STREETS & SAN,$80112.0,2000-05-22 00:00:00
20780,FIRE ENGINEER,FIRE,$87372.0,2000-08-14 00:00:00
20781,FIRE ENGINEER,FIRE,$87372.0,2000-02-16 00:00:00
20782,STATION MANAGER,BUSINESS AFFAIRS,$102060.0,2000-11-10 00:00:00
20783,LAW CLERK,LAW,$25152.4,2000-08-28 00:00:00
20784,FIREFIGHTER,FIRE,$80724.0,2000-11-26 00:00:00
20785,AUTOMOTIVE PAINTER,GENERAL SERVICES,$84760.0,2000-11-14 00:00:00
20786,POLICE OFFICER,POLICE,$83706.0,2000-07-15 00:00:00
20787,POLICE OFFICER (ASSIGNED AS TRAFFIC SPECIALIST),POLICE,$90540.0,2000-04-28 00:00:00
20788,TRAFFIC CONTROL AIDE-HOURLY,OEMC,$19458.4,2000-11-05 00:00:00
20789,CROSSING GUARD,POLICE,$21912.8,2000-07-25 00:00:00
20790,FIREFIGHTER-EMT,FIRE,$81906.0,2000-08-15 00:00:00
20791,POLICE OFFICER,POLICE,$75372.0,2000-01-06 00:00:00
20792,FIREFIGHTER,FIRE,$87324.0,2000-04-19 00:00:00
20793,FIREFIGHTER-EMT,FIRE,$84762.0,2000-12-17 00:00:00
20794,CONSTRUCTION LABORER,WATER MGMNT,$76960.0,2000-01-05 00:00:00
20795,SERGEANT,POLICE,$105864.0,2000-02-07 00:00:00
20796,ELECTRICAL MECHANIC (AUTOMOTIVE),GENERAL SERVICES,$89440.0,2000-11-05 00:00:00
20797,LIBRARIAN I,PUBLIC LIBRARY,$48828.0,2000-12-20 00:00:00
20798,POLICE OFFICER,POLICE,$83706.0,2000-06-12 00:00:00
20799,MACHINIST (AUTOMOTIVE),GENERAL SERVICES,$91353.6,2000-10-25 00:00:00
20800,TRAINING OFFICER,POLICE,$91980.0,2000-10-24 00:00:00
20801,POLICE OFFICER,POLICE,$80724.0,2000-09-20 00:00:00
20802,SANITATION CLERK,STREETS & SAN,$54876.0,2000-11-19 00:00:00
20803,SERGEANT,POLICE,$102564.0,2000-11-17 00:00:00
20804,DEPUTY CORPORATION COUNSEL,LAW,$137076.0,2000-11-27 00:00:00
20805,CLERK II,FAMILY & SUPPORT,$45828.0,2000-07-05 00:00:00
20806,POLICE OFFICER,POLICE,$43104.0,2000-12-24 00:00:00
20807,MANAGER OF VEHICLE MAINTENANCE,GENERAL SERVICES,$82524.0,2000-04-10 00:00:00
20808,LIEUTENANT-EMT,FIRE,$101484.0,2000-02-08 00:00:00
20809,POLICE OFFICER,POLICE,$65016.0,2000-12-17 00:00:00
20810,ASST CORPORATION COUNSEL,LAW,$57192.0,2000-04-15 00:00:00
20811,POLICE OFFICER,POLICE,$80724.0,2000-07-01 00:00:00
20812,POLICE OFFICER,POLICE,$80724.0,2000-08-08 00:00:00
20813,LIBRARY CLERK,PUBLIC LIBRARY,$48048.0,2000-05-05 00:00:00
20814,SERGEANT,POLICE,$99444.0,2000-10-18 00:00:00
20815,POLICE OFFICER,POLICE,$75372.0,2000-11-19 00:00:00
20816,POLICE OFFICER,POLICE,$80724.0,2000-11-26 00:00:00
20817,POLICE OFFICER,POLICE,$75372.0,2000-02-15 00:00:00
20818,SANITATION LABORER,STREETS & SAN,$70969.6,2000-06-24 00:00:00
20819,LIEUTENANT-PARAMEDIC,FIRE,$100740.0,2000-09-11 00:00:00
20820,CROSSING GUARD,POLICE,$18148.0,2000-09-15 00:00:00
20821,POLICE OFFICER,POLICE,$83706.0,2000-12-28 00:00:00
20822,FIREFIGHTER,FIRE,$50490.0,2000-03-08 00:00:00
20823,PARAMEDIC I/C,FIRE,$93192.0,2000-05-10 00:00:00
20824,SERGEANT,POLICE,$99444.0,2000-07-22 00:00:00
